id;code;status;payment_status;total_amount;note;payment_method;placed_at;redeemed_points
1;nor or gee;COMPLETED;PAID;14016.92;forenenst tank;woot precious noteworthy;2025-11-05T19:42:32;2647
2;mobility;PROCESSING;REFUNDED;29427.45;phooey;swing;2025-11-06T05:56:54;1962
3;honestly instructive rarely;DRAFT;UNPAID;26165.72;meanwhile;gosh;2025-11-06T09:34:03;11943
4;hence internalize bicycle;COMPLETED;UNPAID;2511.76;since brave;valiantly amnesty violently;2025-11-05T21:40:31;13812
5;vaguely malfunction;DELIVERED;PAID;9209.61;thankfully keel;finally hence;2025-11-05T13:29:24;2227
6;throughout jury yum;PROCESSING;PAID;6418.67;uh-huh skeleton;vanadyl;2025-11-06T03:17:08;3409
7;hateful mystify;DRAFT;REFUNDED;16694.94;tightly quaintly midst;lounge ugh;2025-11-05T21:43:40;22741
8;likewise;PROCESSING;REFUNDED;19313.32;yesterday outgoing;grim inside;2025-11-05T22:19:17;240
9;keenly ouch frizz;PROCESSING;UNPAID;5183.74;whether briefly;zowie;2025-11-05T16:24:03;30841
10;utilized mainstream;CANCELLED;REFUNDED;7061.56;gosh;blah;2025-11-06T07:08:14;20215
