id;sku;name;price;compare_at_price;currency;stock_quantity;is_default;color;size
1;wilderness;linseed babushka;9652.97;17050.44;aff;32762;true;lime;ouch pulp
2;swing for barring;legal oh;12781.3;16686.31;zan;16562;false;violet;bah
3;step-mother around sans;how;23934.6;18969.22;ins;29303;false;teal;winged faithfully
4;considering consistency in;like instead;7211.76;30153.65;per;24329;false;azure;before
5;mysteriously given as;while plus jellyfish;9270.01;12806.4;abs;455;false;azure;brave meanwhile demobilise
6;unselfish boo mild;accelerator innocently enchanting;26775.78;7961.61;but;9377;false;white;motivate whereas for
7;mmm lovingly;shoot;22534.47;8499.2;tha;254;false;red;since boohoo
8;nightlife community;amid vast;5848.38;26253.07;for;12777;true;magenta;midst license spice
9;phew yowza among;via forgery sheepishly;9120.93;26811.85;int;1300;false;plum;plastic gee apud
10;terribly sweatshop but;until next forenenst;3104.77;1276.7;bes;3547;true;tan;pfft
